trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.75, 'e': 0.00010412328196584757}",30,9,29.999849565570283,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.75, 'e': 0.00010203040506070809}",25,2,27.12537168922876,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.75, 'e': 0.0001}",20,10,18.97848258958002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.75, 'e': 9.802960494069208e-05}",20,0,30.92127739349102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.75, 'e': 9.611687812379854e-05}",30,1,-10.998745575403436,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.75, 'e': 9.425959091337543e-05}",25,3,33.69899646769599,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 9.245562130177515e-05}",20,16,7.951311844236278,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.75, 'e': 9.070294784580499e-05}",20,0,23.70265505107034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.75, 'e': 8.8999644001424e-05}",20,4,21.78776144732682,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.75, 'e': 8.734387282732117e-05}",30,0,39.124730433463675,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.75, 'e': 8.573388203017832e-05}",20,8,22.603064962812013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.75, 'e': 8.416799932665601e-05}",30,8,14.438611179328314,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.75, 'e': 8.264462809917356e-05}",25,16,16.28719037759065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.75, 'e': 8.116224332440549e-05}",20,0,27.732339941474788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.75, 'e': 7.971938775510203e-05}",25,15,19.016487405477157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.75, 'e': 7.831466833737959e-05}",20,0,32.36360788619803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.75, 'e': 7.694675284702985e-05}",20,10,20.10750451757038,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.75, 'e': 7.561436672967863e-05}",25,8,32.0078773102767,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.75, 'e': 7.431629013079666e-05}",20,9,23.038307489101854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.75, 'e': 7.305135510263716e-05}",30,19,20.3542050098361,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.75, 'e': 7.181844297615628e-05}",20,9,20.918938403028285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.75, 'e': 7.06164818868724e-05}",25,8,27.846430000731743,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.75, 'e': 6.944444444444444e-05}",30,15,-0.16041840422486953,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.75, 'e': 6.830134553650706e-05}",25,9,26.437639893943267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.75, 'e': 6.718624025799516e-05}",30,0,47.3070228620443,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.75, 'e': 6.609822195782933e-05}",20,9,20.00259160896758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.75, 'e': 6.503642039542144e-05}",20,8,21.396623882456225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.75, 'e': 6.4e-05}",20,0,33.23198936091978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.75, 'e': 6.298815822625347e-05}",25,0,40.21937526096399,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.75, 'e': 6.2000124000248e-05}",25,0,32.71369729866023,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.75, 'e': 6.103515625e-05}",25,13,21.50055194851848,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.75, 'e': 6.009254251547383e-05}",25,2,35.69211111140663,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.75, 'e': 5.9171597633136094e-05}",20,0,26.214440440528705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.75, 'e': 5.8271662490530857e-05}",25,7,24.473228771366188,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.75, 'e': 5.73921028466483e-05}",25,7,25.50156003113779,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.75, 'e': 5.6532308214144386e-05}",25,10,25.426507911516328,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.75, 'e': 5.569169079973268e-05}",20,0,20.6133613161243,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.75, 'e': 5.486968449931413e-05}",25,3,23.587798093178318,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.75, 'e': 5.406574394463668e-05}",25,0,24.615092622938857,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.75, 'e': 5.3279343598486864e-05}",25,11,26.009503423325675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.75, 'e': 5.250997689561016e-05}",25,13,24.24329440304809,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.75, 'e': 5.175715542673774e-05}",20,12,13.068966419584887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.75, 'e': 5.102040816326531e-05}",20,13,13.11026165103064,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.75, 'e': 5.02992807202857e-05}",20,13,15.640616824503415,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.75, 'e': 4.959333465582226e-05}",25,20,9.060338651001299,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.75, 'e': 4.8902146804244705e-05}",20,6,19.61809493225072,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.75, 'e': 4.8225308641975306e-05}",25,13,19.27860538108684,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.75, 'e': 4.756242568370987e-05}",25,5,36.56857773805432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.75, 'e': 4.6913116907487336e-05}",20,8,25.87931305763936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.75, 'e': 4.627701420704336e-05}",20,13,14.902056518967765,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.75, 'e': 4.565376186997809e-05}",30,19,15.627114899218316,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.75, 'e': 4.504301608035674e-05}",20,14,10.077728404620045,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.75, 'e': 4.4444444444444447e-05}",25,8,25.23002349456396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.75, 'e': 4.385772553835358e-05}",20,3,24.886032594763364,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.75, 'e': 4.3282548476454294e-05}",25,7,22.72996364252176,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.75, 'e': 4.2718612499466016e-05}",25,3,35.22334518210327,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.75, 'e': 4.2165626581210996e-05}",20,13,12.79037419003367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.75, 'e': 4.162330905306972e-05}",30,16,28.46464484356627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.75, 'e': 4.10913872452334e-05}",25,0,34.25017301769941,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.75, 'e': 4.056959714390036e-05}",25,0,23.28983948215491,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.75, 'e': 4.00576830636116e-05}",25,12,21.520433186069784,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.75, 'e': 3.955539733396622e-05}",20,8,14.530090377172872,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.75, 'e': 3.90625e-05}",20,8,22.66267965512159,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.75, 'e': 3.8578758535550326e-05}",25,3,28.797967554819135,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.75, 'e': 3.8103947568968146e-05}",20,12,15.285989851695064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.75, 'e': 3.7637848620572846e-05}",30,14,20.4379676022372,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.75, 'e': 3.7180249851279e-05}",20,8,15.640829217636265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.75, 'e': 3.6730945821854914e-05}",25,4,41.300351384860434,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.75, 'e': 3.628973726230222e-05}",20,6,22.843719323494625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.75, 'e': 3.58564308508731e-05}",25,19,11.295630425649138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.75, 'e': 3.5430839002267575e-05}",25,8,20.174441007242915,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.75, 'e': 3.501277966457757e-05}",25,15,17.86422497095904,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
